Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Courses Available,Geocoded Address,NPI,Last Report Date,Provider Status,Provider Note
WALGREENS STORE #10278,606 LONG BEACH BLVD,,Long Beach,Nassau,NY,11561,00069-1085-30,Paxlovid,12,POINT (-73.65666 40.59195),1376726257,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #09204,955 MANOR RD,,Staten Island,Richmond,NY,10314,00069-1085-30,Paxlovid,63,POINT (-74.12026 40.60365),1437358124,10/13/2022 12:00:00 AM,ACTIVE,
Sams Pharmacy #6440,579 Troy Schenectady Rd,,Latham,Albany,NY,12110,00069-1085-30,Paxlovid,79,POINT (-73.76487 42.75313),1679863716,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02558,360 6TH AVENUE,CVS Pharmacy,New York,New York,NY,10011,00069-1085-30,Paxlovid,10,POINT (-74.0001 40.732455),1679677413,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #12066,2320 GRAND ISLAND BLVD,,Grand Island,Erie,NY,14072,00069-1085-30,Paxlovid,79,POINT (-78.96695 43.02493),1215261433,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19087,100 E MAIN ST,,Endicott,Broome,NY,13760,00069-1085-30,Paxlovid,18,POINT (-76.06436 42.09467),1699299768,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #07932,2024 SOUTH RD,,Poughkeepsie,Dutchess,NY,12601,00069-1085-30,Paxlovid,25,POINT (-73.91582 41.62756),1023062668,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #00560,242-24 NORTHERN BOULEVARD,CVS Pharmacy,Douglaston,Queens,NY,11362,00069-1085-30,Paxlovid,83,POINT (-73.74339 40.76522),1780782490,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14499,133-141 DYCKMAN ST,,New York,New York,NY,10040,00069-1085-30,Paxlovid,17,POINT (-73.92565 40.86322),1447275912,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #17070,195 N BEDFORD RD STE A,CVS Pharmacy,Mount Kisco,Westchester,NY,10549,00069-1085-30,Paxlovid,21,POINT (-73.7216 41.21618),1922020577,10/14/2022 12:00:00 AM,ACTIVE,
COSTCO PHARMACY # 785,1768 OLD COUNTRY RD,,Riverhead,Suffolk,NY,11901,00069-1085-30,Paxlovid,3,POINT (-72.69606 40.92636),1376975953,09/08/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Hannaford Brothers Store # 8255,11140 WESTERN TURNPIKE,,Esperance,Montgomery,NY,12066,00069-1085-30,Paxlovid,37,POINT (-74.25012 42.76313),1629394689,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01677,476 WILLIAM STREET,,Buffalo,Erie,NY,14206,00069-1085-30,Paxlovid,14,POINT (-78.85341 42.885525),1851402994,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01621,153 PROSPECT STREET,,Attica,Wyoming,NY,14011,00069-1085-30,Paxlovid,25,POINT (-78.276995 42.872155),1427167741,10/13/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2370,760 Hoosick Rd,,Troy,Rensselaer,NY,12180,00069-1085-30,Paxlovid,1,POINT (-73.63888 42.745715),1326065483,09/26/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
WALGREENS STORE #12490,13250 METROPOLITAN AVE,,Richmond Hill,Queens,NY,11418,00069-1085-30,Paxlovid,20,POINT (-73.81853 40.70259),1720399652,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #17756,1520 Forest Avenue,CVS Pharmacy,Staten Island,Richmond,NY,10302,00069-1085-30,Paxlovid,21,POINT (-74.13981 40.6237),1497385967,10/14/2022 12:00:00 AM,ACTIVE,
Kinney Drugs Inc. #95-Lake Placid,1954 Saranac Ave,,Lake Placid,Essex,NY,12946,00069-1085-30,Paxlovid,59,POINT (-74.00968 44.2955),1649455650,10/14/2022 12:00:00 AM,ACTIVE,
Colony Drugs and Surgicals,103-19 Queens Blvd,,Forest Hills,Queens,NY,11375,00069-1085-30,Paxlovid,19,POINT (-73.84957 40.72464),1255806980,09/20/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Catholic Health Infusion Pharm C19,6350 Transit Road,#1,Depew,Erie,NY,14043,00069-1085-30,Paxlovid,40,POINT (-78.698105 42.929095),1649512179,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #1813,6788 Route 31 E,,Newark,Wayne,NY,14513,00069-1085-30,Paxlovid,1,POINT (-77.05757 43.05234),1144247214,09/29/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
WALGREENS STORE #09414,5173 W TAFT RD,,North Syracuse,Onondaga,NY,13212,00069-1085-30,Paxlovid,15,POINT (-76.15906 43.12236),1679841449,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #01935,10-3 FT SALONGA RD,COUNTRY VILLAGE S/C,Northport,Suffolk,NY,11768,00069-1085-30,Paxlovid,28,POINT (-73.279208 40.907025),1225136864,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19377,4001 S SALINA ST,,Syracuse,Onondaga,NY,13205,00069-1085-30,Paxlovid,5,POINT (-76.14192 43.00938),1770007494,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14312,296 FLATBUSH AVE,,Brooklyn,Kings,NY,11217,00069-1085-30,Paxlovid,128,POINT (-73.97326 40.67797),1225053796,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #18364,135 W MAIN ST,,Honeoye Falls,Monroe,NY,14472,00069-1085-30,Paxlovid,56,POINT (-77.60192 42.94986),1831613223,10/13/2022 12:00:00 AM,ACTIVE,
SAMARITAN HOSP-ALBANY MEMORIAL CAMP,600 Northern Blvd,,Albany,Albany,NY,12204,00002-7589-01,Bebtelovimab,26,POINT (-73.74862 42.67411),1043267727,10/11/2022 12:00:00 AM,ACTIVE,
Moriah Pharmacy,4315 MAIN ST,,Port Henry,Essex,NY,12974,00069-1085-30,Paxlovid,39,POINT (-73.459935 44.048065),1568573848,10/06/2022 12:00:00 AM,ACTIVE,
CVS Store #17662,124 E JERICHO TPKE,CVS Pharmacy,Huntington Station,Suffolk,NY,11746,00069-1085-30,Paxlovid,30,POINT (-73.406565 40.827785),1720412208,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #17365,3739 BURGOYNE AVE,,Hudson Falls,Washington,NY,12839,00069-1085-30,Paxlovid,36,POINT (-73.5712 43.31855),1326561119,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14410,756 MYRTLE AVE,,Brooklyn,Kings,NY,11206,00069-1085-30,Paxlovid,26,POINT (-73.951975 40.694875),1629093125,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #10854,370 RT 306,CVS Pharmacy,Monsey,Rockland,NY,10952,00069-1085-30,Paxlovid,42,POINT (-74.070435 41.14803),1588251029,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #02685,1253 DIX AVE.,CVS Pharmacy,Hudson Falls,Washington,NY,12839,00069-1085-30,Paxlovid,48,POINT (-73.573112 43.3209),1821270737,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #19725,1490 LAKE AVE,,Rochester,Monroe,NY,14615,00069-1085-30,Paxlovid,42,POINT (-77.627917 43.193695),1841714151,10/13/2022 12:00:00 AM,ACTIVE,
Tops Markets LLC and Tops PT LLC,4777 TRANSIT RD,TOPS PHCY 220,Depew,Erie,NY,14043,00069-1085-30,Paxlovid,5,POINT (-78.694365 42.868535),1528249828,08/30/2022 12:00:00 AM,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Rite Aid 01913,214 LOCKPORT STREET,,Youngstown,Niagara,NY,14174,00069-1085-30,Paxlovid,26,POINT (-79.04748 43.25107),1568571883,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #00418,2503 SOUTH RD.,CVS Pharmacy,Poughkeepsie,Dutchess,NY,12601,00069-1085-30,Paxlovid,65,POINT (-73.93137 41.65876),1962500678,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #09798,4855 COMMERCIAL DR,,New Hartford,Oneida,NY,13413,00069-1085-30,Paxlovid,21,POINT (-75.29521 43.10871),1053484840,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #14112,485 LEXINGTON AVE,,New York,New York,NY,10017,00069-1085-30,Paxlovid,15,POINT (-73.97366 40.754165),1376569400,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 04982,1640 HOPKINS ROAD,,Williamsville,Erie,NY,14221,00069-1085-30,Paxlovid,106,POINT (-78.73849 43.02412),1699884171,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #02719,97-01 LIBERTY AVE.,CVS Pharmacy,Ozone Park,Queens,NY,11417,00069-1085-30,Paxlovid,34,POINT (-73.84168 40.68125),1295839033,10/14/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #03267,2043 KENSINGTON AVE,,Amherst,Erie,NY,14226,00069-1085-30,Paxlovid,17,POINT (-78.782981 42.949985),1831106871,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #07326,726 EAST MAIN ST.,CVS Pharmacy,Cobleskill,Schoharie,NY,12043,00069-1085-30,Paxlovid,41,POINT (-74.476705 42.679145),1255633897,10/14/2022 12:00:00 AM,ACTIVE,
Wellming Pharmacy,133-43 41st Rd,,Flushing,Queens,NY,11355,00069-1085-30,Paxlovid,20,POINT (-73.830095 40.75729),1457393233,10/04/2022 12:00:00 AM,ACTIVE,
CVS Store #00997,206 GLEN COVE AVENUE,CVS Pharmacy,Glen Cove,Nassau,NY,11542,00069-1085-30,Paxlovid,27,POINT (-73.634895 40.8487),1770687436,10/14/2022 12:00:00 AM,ACTIVE,
SMH UR LTC Pharmacy,5901 Lac De Ville Blvd,,Rochester,Monroe,NY,14618,00069-1085-30,Paxlovid,10,POINT (-77.59411 43.112555),1336256155,10/13/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2583,1123 Jerusalem Ave,,Uniondale,Nassau,NY,11553,00069-1085-30,Paxlovid,5,POINT (-73.5781 40.69562),1760409833,10/13/2022 12:00:00 AM,ACTIVE,
IVAN PHARMACY,691 Columbus Avenue,,New York,New York,NY,10025,00069-1085-30,Paxlovid,34,POINT (-73.96849 40.79114),1902847858,10/13/2022 12:00:00 AM,ACTIVE,
FOREVER PHARMACY INC,135-34 39TH AVE,,Flushing,Queens,NY,11354,00069-1085-30,Paxlovid,4,POINT (-73.831115 40.759955),1578133369,10/04/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #15369,290 W MERRICK RD,,Valley Stream,Nassau,NY,11580,00069-1085-30,Paxlovid,37,POINT (-73.70857 40.667465),1518343813,10/13/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #1673,4238 Recreation Dr,,Canandaigua,Ontario,NY,14424,00069-1085-30,Paxlovid,17,POINT (-77.24024 42.87555),1508883679,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 10821,47 NIAGARA STREET,,Tonawanda,Erie,NY,14150,00069-1085-30,Paxlovid,26,POINT (-78.87982 43.02018),1659471001,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #05847,6831 BAY PARKWAY,CVS Pharmacy,Brooklyn,Kings,NY,11204,00069-1085-30,Paxlovid,38,POINT (-73.98391 40.61102),1336410935,10/14/2022 12:00:00 AM,ACTIVE,
CVS Store #05348,1169 ROUTE 29,CVS Pharmacy,Greenwich,Washington,NY,12834,00069-1085-30,Paxlovid,28,POINT (-73.51363 43.10285),1396848131,10/14/2022 12:00:00 AM,ACTIVE,
NYC HEALTH + HOSPITALS/ELMHURST,79-01 Broadway,J_B-18,Elmhurst,Queens,NY,11373,00069-1085-30,Paxlovid,280,POINT (-73.88617 40.74459),1063426377,10/14/2022 12:00:00 AM,ACTIVE,
Rite Aid 10733,5335 WEST GENESEE ST STE 20,,Camillus,Onondaga,NY,13031,00069-1085-30,Paxlovid,46,POINT (-76.273537 43.040045),1619065034,10/13/2022 12:00:00 AM,ACTIVE,
Adirondack Pharmacy,4057 State Highway 3,,Star Lake,Saint Lawrence,NY,13690,00069-1085-30,Paxlovid,11,POINT (-75.04605 44.16614),1215018213,10/12/2022 12:00:00 AM,ACTIVE,
COSTCO PHARMACY # 310,605 ROCKAWAY TPKE,,Lawrence,Nassau,NY,11559,00069-1085-30,Paxlovid,20,POINT (-73.740055 40.630595),1053421677,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #17195,79 NORTH ST,,Dryden,Tompkins,NY,13053,00069-1085-30,Paxlovid,9,POINT (-76.30034 42.49747),1508383472,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01079,3924 HARLEM ROAD,,Amherst,Erie,NY,14226,00069-1085-30,Paxlovid,18,POINT (-78.784525 42.950585),1083723399,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #04609,601 N BROADWAY,CVS Pharmacy,White Plains,Westchester,NY,10603,00069-1085-30,Paxlovid,48,POINT (-73.76959 41.05413),1396848123,10/14/2022 12:00:00 AM,ACTIVE,
Walmart Pharmacy #2355,5033 Transit Rd,,Williamsville,Erie,NY,14221,00069-1085-30,Paxlovid,32,POINT (-78.693882 42.98298),1417974577,10/13/2022 12:00:00 AM,ACTIVE,
Rite Aid 01561,272 HOOSICK STREET,,Troy,Rensselaer,NY,12180,00069-1085-30,Paxlovid,60,POINT (-73.669655 42.737805),1881703197,10/13/2022 12:00:00 AM,ACTIVE,
NYC HEALTH + HOSPITALS/CONEY ISLAND,2601 OCEAN PARKWAY,ROOM 2N1D,Brooklyn,Kings,NY,11235,00002-7589-01,Bebtelovimab,45,POINT (-73.96573 40.58602),,10/14/2022 12:00:00 AM,ACTIVE,
Rite Aid 04738,1631-43 PITKIN AVENUE,,Brooklyn,Kings,NY,11212,00069-1085-30,Paxlovid,92,POINT (-73.91306 40.66943),1891804282,10/13/2022 12:00:00 AM,ACTIVE,
WALGREENS STORE #01180,3355 CRESCENT ST,# 67,Long Island City,Queens,NY,11106,00069-1085-30,Paxlovid,132,POINT (-73.930175 40.761325),1023023108,10/13/2022 12:00:00 AM,ACTIVE,
CVS Store #01186,822 MIDDLE COUNTRY RD.,CVS Pharmacy,Selden,Suffolk,NY,11784,00069-1085-30,Paxlovid,29,POINT (-73.04184 40.8647),1386742914,10/14/2022 12:00:00 AM,ACTIVE,
